_key,endTime,artistName,trackName,msPlayed
3660,2025-04-10 12:40,Billie Eilish,GOLDWING,99060
3661,2025-04-10 12:43,Billie Eilish,Lost Cause,199850
3662,2025-04-10 12:44,Billie Eilish,I Didn't Change My Number,63966
3663,2025-04-10 16:13,Taylor Swift,Mastermind,191039
3664,2025-04-10 16:18,Taylor Swift,All Too Well (Taylor's Version),560
3665,2025-04-10 16:18,Taylor Swift,Delicate,1510
3666,2025-04-10 16:18,Taylor Swift,Fearless (Taylor’s Version),1380
3667,2025-04-10 16:18,Taylor Swift,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),293150
3668,2025-04-10 16:18,Taylor Swift,cardigan,600
3669,2025-04-10 16:18,Taylor Swift,New Romantics (Taylor's Version),1260
3670,2025-04-10 16:22,Taylor Swift,All Too Well (Taylor's Version),10179
3671,2025-04-10 16:22,Taylor Swift,cardigan,239560
3672,2025-04-10 16:34,Taylor Swift,Sweet Nothing,650
3673,2025-04-10 16:34,Taylor Swift,Fortnight (feat. Post Malone) - Acoustic Version,1060
3674,2025-04-10 16:34,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),702810
3675,2025-04-10 16:34,Taylor Swift,Holy Ground (Taylor's Version),790
3676,2025-04-10 16:34,Taylor Swift,Love Story (Taylor’s Version),740
3677,2025-04-10 16:34,Taylor Swift,False God,1150
3678,2025-04-10 16:34,Taylor Swift,The Way I Loved You (Taylor’s Version),1040
3679,2025-04-10 16:34,Taylor Swift,Wildest Dreams (Taylor's Version),810
3680,2025-04-10 16:34,Taylor Swift,Babe (Taylor's Version) (From The Vault),2390
3681,2025-04-10 16:34,Taylor Swift,London Boy,720
3682,2025-04-10 16:34,Taylor Swift,Mine (Taylor's Version),640
3683,2025-04-10 16:34,Taylor Swift,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),530
3684,2025-04-10 16:34,Taylor Swift,this is me trying,840
3685,2025-04-10 16:38,Taylor Swift,mirrorball,660
3686,2025-04-10 16:38,Taylor Swift,Fortnight (feat. Post Malone) - Acoustic Version,228965
3687,2025-04-10 16:38,Taylor Swift,Holy Ground (Taylor's Version),18814
3688,2025-04-10 16:38,Taylor Swift,So It Goes...,710
3689,2025-04-10 16:42,Taylor Swift,"Would've, Could've, Should've",260361
3690,2025-04-10 16:43,Taylor Swift,Out Of The Woods (Taylor's Version),1130
3691,2025-04-10 16:43,Taylor Swift,Mean (Taylor's Version),590
3692,2025-04-10 16:43,Taylor Swift,I Did Something Bad,680
3693,2025-04-10 16:43,Taylor Swift,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),600
3694,2025-04-10 16:43,Taylor Swift,Clean (Taylor's Version),1010
3695,2025-04-10 16:43,Taylor Swift,End Game,1130
3696,2025-04-10 16:43,Taylor Swift,The Story Of Us (Taylor's Version),1150
3697,2025-04-10 16:43,Taylor Swift,Daylight,480
3698,2025-04-10 16:43,Taylor Swift,invisible string,970
3699,2025-04-10 16:43,Taylor Swift,Blank Space (Taylor's Version),630
3700,2025-04-10 16:43,Taylor Swift,New Year’s Day,830
3701,2025-04-10 16:43,Taylor Swift,I Know Places (Taylor's Version),1330
3702,2025-04-10 16:43,Taylor Swift,Dress,840
3703,2025-04-10 16:43,Taylor Swift,The Man,7968
3704,2025-04-10 16:43,Taylor Swift,Don’t Blame Me,520
3705,2025-04-10 16:47,Taylor Swift,This Love (Taylor’s Version),250100
3706,2025-04-10 16:52,Taylor Swift,Who’s Afraid of Little Old Me?,334084
3707,2025-04-10 16:56,Taylor Swift,Karma (feat. Ice Spice),201493
3708,2025-04-10 16:58,Taylor Swift,the lakes - bonus track,560
3709,2025-04-10 16:58,Taylor Swift,Death By A Thousand Cuts,600
3710,2025-04-10 16:58,Taylor Swift,You Belong With Me (Taylor’s Version),510
3711,2025-04-10 16:58,Taylor Swift,I Knew You Were Trouble (Taylor's Version),167951
3712,2025-04-10 16:59,Taylor Swift,Cornelia Street,550
